"group","sampleName","Node_P1s_21","Node_P1s_22","Node_P1s_24","Node_P1s_25","Node_P1s_31","Node_P1s_32","Node_P1s_33","Node_P1s_34","Node_P1s_35","Node_P1s_42","Node_P1s_43","Node_P1s_44","Node_P1s_73","Node_P1s_74","Node_P1s_97","Node_P1s_3","Node_P1s_4","Node_P1s_13","Node_P1s_5","Node_P1s_1","Node_P1s_2","Node_P1s_11","Node_P1s_12","Node_P1s_36","Node_P1s_17","Node_P1s_26","Node_P1s_27","Node_P1s_28","Node_P1s_41","Node_P1s_14","Node_P1s_16","Node_P1s_29","Node_P1s_6","Node_P1s_15","Node_P1s_10","Node_P1s_19","Node_P1s_9","Node_P1s_8","Node_P1s_18","Node_P1s_23","Node_P1s_20","Node_P1s_30","Node_P1s_49","Node_P1s_100","Node_P1s_78","Node_P1s_80","Node_P1s_99","Node_P1s_77","Node_P1s_87","Node_P1s_89","Node_P1s_90","Node_P1s_45","Node_P1s_46","Node_P1s_53","Node_P1s_54","Node_P1s_55","Node_P1s_56","Node_P1s_57","Node_P1s_63","Node_P1s_64","Node_P1s_65","Node_P1s_76","Node_P1s_67","Node_P1s_79","Node_P1s_66","Node_P1s_75","Node_P1s_69","Node_P1s_70","Node_P1s_38","Node_P1s_39","Node_P1s_47","Node_P1s_48","Node_P1s_58","Node_P1s_40","Node_P1s_59","Node_P1s_37","Node_P1s_68","Node_P1s_50","Node_P1s_60","Node_P1s_7","Node_P1s_62","Node_P1s_88","Node_P2ns_50","Node_P2ns_97","Node_P2ns_95","Node_P2ns_86","Node_P2ns_85","Node_P2ns_66","Node_P2ns_96","Node_P2ns_76","Node_P2ns_75","Node_P2ns_65","Node_P2ns_87","Node_P2ns_98","Node_P2ns_74","Node_P2ns_84","Node_P2ns_90","Node_P2ns_78","Node_P2ns_58","Node_P2ns_99","Node_P2ns_80","Node_P2ns_79","Node_P2ns_89","Node_P2ns_70","Node_P2ns_69","Node_P2ns_68","Node_P2ns_60","Node_P2ns_88"
"F_20yTo55y","HIP020",0.0118,0.0126,0.0262,0.0141,0.0165,0.0225,0.0101,0.0104,0.0078,0.023,0.0066,0.002,0.0021,0.0023,0.0021,0.0157,0.0184,0.0224,0.0185,0.0031,0.011,0.01,0.0151,0.0023,0.0065,0.0085,0.001,0.0077,0.0136,0.01,0.0043,0.0074,0.0085,0.0019,0.007,0.0114,0.0064,0.0026,0.0061,0.0064,0.006,0.0118,0.0052,0.0035,0.0059,0.0151,0.012,0.0025,0.0231,0.0296,0.0011,0.0029,0.0114,0.002,0.0135,0.0198,0.035,0.0032,0.0185,0.0235,0.0092,0.0054,0.0107,0.002,0.0114,0.011,0.0345,0.0051,0.02,0.0289,0.004,0.0056,0.0136,0.0257,0.0101,0.0099,0.0046,0.0229,0.0067,0.001,0.0012,8e-04,0.002,0.0047,0.007,0.0135,0.0056,0.0048,0.0056,0.0078,0.0242,0.0175,0.0011,0.0021,0.0053,0.0055,0.0064,0.003,0.0026,0.0032,0.0022,0.0023,0.0154,0.0036,0.0238,0.0154,0.0011,3e-04
"H_71yToA","SG90122",0.0032,0.0091,0.0056,0.0048,0.0103,0.0115,0.0066,0.0053,0.0049,0.0113,6e-04,0.0072,0.0028,0.0162,0.0053,0.0105,0.0234,0.0296,0.0026,0.0011,0.0016,8e-04,0.0011,3e-04,0.009,0.0046,0.0046,0.0127,0.0077,0.0194,0.0046,0.0043,0.0077,0.0019,0.0113,0.0237,0.0072,0.0024,0.0099,0.0095,0.0094,0.0088,0.0105,0.0049,0.0374,0.0257,0.0057,0.0037,0.0133,0.0394,0.002,0.0025,0.0027,0.001,0.0022,6e-04,0.0034,0.0027,0.0038,0.0123,0.0029,9e-04,0.0387,0.0472,3e-04,0.0014,0.0316,0.0031,0.0014,0.0015,0.0081,0.0088,0.0246,0.0173,0.005,0.0054,0.0187,0.0052,6e-04,6e-04,0.0099,0.0068,0.0021,0.0087,0.0131,0.0248,0.0144,0.0027,0.0072,0.0124,0.0167,0.0102,0.0039,0.0032,0.0036,0.0071,0.012,0.0038,0.0078,0.004,0.0092,0.0025,0.0174,0.0029,0.0111,0.0214,0.0012,0.0018
"H_71yToA","SG90246",0.0049,0.0058,0.0048,0.0029,0.0042,0.0099,0.0033,0.0037,0.0055,0.0071,6e-04,0.0057,0.0012,0.0062,0.0018,0.0092,0.023,0.0179,0.0045,6e-04,7e-04,2e-04,8e-04,4e-04,0.0029,0.0061,8e-04,0.0036,0.0045,0.0113,0.003,0.0055,0.0093,0.0013,0.0068,0.0077,0.0051,0.0061,0.0132,0.0046,0.0156,0.0181,0.0306,0.0048,0.0326,0.045,0.0054,0.0067,0.0842,0.2154,0.0094,0.0021,0.0026,0.0021,0.0015,0.0013,0.0029,0.0022,0.001,0.005,0.0017,9e-04,0.0265,0.0048,6e-04,4e-04,0.0562,0.0146,0.0025,0.005,0.0086,0.0132,0.0239,0.01,0.0131,0.0026,0.0156,0.0074,0.0013,2e-04,0.0025,0.0012,0.0024,0.007,0.0042,0.0167,0.0117,0.0012,0.0042,0.0035,0.0047,2e-04,0.0031,0.0028,0.0034,0.0061,0.0016,0.0027,0.0025,0.0015,0.0035,0.0014,0.0038,9e-04,0.0089,0.0089,6e-04,0.001
"H_71yToA","AN6260",0.0089,0.0093,0.0167,0.0211,0.0124,0.0214,0.0132,0.0115,0.0119,0.0218,0.0032,0.003,0.004,0.0093,0.0037,0.0236,0.0378,0.0381,0.0085,0.0026,0.0019,0.0011,0.0023,0.0037,0.0039,0.0039,0.0025,0.0045,0.0181,0.011,0.0038,0.0042,0.0107,0.0018,0.0071,0.0121,0.0032,0.003,0.0119,0.0176,0.0052,0.0174,0.004,0.0018,0.0164,0.0201,0.0018,0.001,0.0193,0.0584,4e-04,0.0016,0.0053,0.0085,0.0028,0.004,0.0117,0.0057,0.0112,0.0059,0.0054,0.0026,0.0385,0.0071,0.0012,0.0011,0.0235,0.0042,0.0109,0.0142,0.0268,0.0246,0.0406,0.0239,0.0077,0.0042,0.0098,0.0075,6e-04,0.0018,0.0057,0.0033,0.0015,0.0123,0.011,0.0335,3e-04,0.0037,0.0107,0.0058,0.0361,0.0173,0.0067,0.0017,0.0059,0.0099,0.0028,0.0044,0.004,0.0028,5e-04,0.0011,0.0069,0.002,0.0066,0.0069,5e-04,4e-04
"H_71yToA","AN1611",0.0052,0.0039,0.0156,0.0085,0.0214,0.0073,0.0055,0.0096,0.0101,0.0098,0.0022,0.0026,0.016,0.0198,6e-04,0.0107,0.0133,0.0122,0.0062,0.0029,6e-04,4e-04,8e-04,0.0045,0.0118,0.0112,0.0135,0.0192,0.0365,0.0128,0.0066,0.0046,0.0084,0.0026,0.0113,0.0154,0.0169,0.0035,0.0169,0.0233,0.0169,0.0168,0.0185,0.0026,0.0205,0.0214,0.0064,0.0023,0.0124,0.0187,2e-04,0.0015,0.0038,0.0086,0.0029,0.0053,0.008,0.0071,0.0196,0.008,0.0085,0.0082,0.0207,0.0186,0.0017,4e-04,0.0134,0.0017,0.0068,0.0046,0.0451,0.0104,0.0225,0.0207,0.0112,0.0087,0.0078,0.0032,5e-04,7e-04,0.0114,0.0072,0.0014,0.014,0.0222,0.0467,5e-04,0.0084,0.0126,0.007,0.0584,0.0306,0.0031,0.0034,0.0077,0.0068,0.0024,0.0052,0.0022,0.0033,3e-04,5e-04,0.0055,0.0025,0.0028,0.0056,0.001,8e-04
"H_71yToA","AN1758",0.011,0.0096,0.0263,0.0146,0.0456,0.0124,0.0193,0.0078,0.0121,0.027,0.0024,0.0027,0.0087,0.0102,0.001,0.0105,0.0269,0.0189,0.0084,0.0039,0.0019,8e-04,0.0041,0.0037,0.0219,0.0108,0.0076,0.0329,0.0462,0.0087,0.0037,0.0033,0.0088,0.0017,0.0039,0.0173,0.0058,0.0031,0.0238,0.0215,0.0017,0.0076,0.0017,8e-04,0.0057,0.0204,0.0975,0.001,0.0025,0.003,1e-04,0.0015,0.0056,0.0042,0.0058,0.0033,0.0049,0.0021,0.0406,0.0093,0.0078,0.0047,0.0376,0.0066,0.0023,0,0.0051,6e-04,0.0062,0.0015,0.0065,0.0027,0.0136,0.0076,8e-04,0.003,0.0061,0.0011,0,9e-04,0.0051,0.003,0.003,0.0097,0.0053,0.0251,0.0011,0.0069,0.0166,0.0113,0.0566,0.0668,0.0046,0.0023,0.0075,0.0144,0.0019,0.0033,0.0016,0.0019,9e-04,4e-04,0.0068,0.0015,0.0045,0.0073,1e-04,8e-04
"H_71yToA","SG90210",0.0044,0.0164,0.0082,0.0057,0.0037,0.0123,0.0058,0.0059,0.01,0.0105,0.0026,0.0019,0.0023,0.0052,0.009,0.0083,0.0288,0.0231,0.0106,0.0012,6e-04,8e-04,0.001,5e-04,0.0035,0.0054,0.0013,0.004,0.0092,0.0173,0.0023,0.0338,0.0245,0.0054,0.0111,0.0205,0.0104,0.0093,0.0481,0.0175,0.0074,0.0476,0.0198,0.0024,0.0145,0.0193,0.005,9e-04,0.0655,0.1016,0.004,7e-04,0.0036,0.0022,0.0018,0.0027,0.0025,0.0035,0.0015,0.0053,0.0066,0.0014,0.0225,6e-04,2e-04,9e-04,0.0113,0.0038,0.0028,0.0066,0.1263,0.0051,0.0407,0.0043,0.0024,0.0018,0.0063,0.0029,8e-04,8e-04,0.0025,0.0011,4e-04,0.0037,8e-04,0.0097,0.0011,3e-04,0.0011,1e-04,0.002,3e-04,0.001,8e-04,3e-04,0.0029,8e-04,0.0023,0.0022,0.0024,3e-04,6e-04,0.0036,7e-04,0.006,0.0023,4e-04,0.0021
"H_71yToA","SG90223",0.0043,0.0091,0.0088,0.0073,0.0055,0.0298,0.0055,0.0066,0.0085,0.0164,0.0024,0.0034,0.0016,0.0146,0.007,0.0099,0.0283,0.0313,0.007,0.0012,0.0036,0.001,0.0027,9e-04,0.0018,0.0028,0.0014,0.0017,0.0031,0.0089,0.003,0.0063,0.0081,0.0014,0.0065,0.0098,0.0028,0.0015,0.0068,0.0055,0.006,0.0162,0.0626,0.0034,0.038,0.0522,0.0051,0.0046,0.0827,0.1273,0.005,0.0021,0.0028,0.0014,0.0013,0.002,0.006,0.0015,7e-04,0.0123,0.0014,5e-04,0.0461,0.0072,2e-04,0.0018,0.0513,0.0162,0.0021,0.0028,0.0029,0.0037,0.0092,0.0022,0.0107,0.0027,0.0147,0.0018,6e-04,6e-04,0.0127,0.0024,9e-04,0.0118,0.0072,0.0383,9e-04,6e-04,0.0054,0.002,0.0073,0.0011,0.0031,8e-04,0.0011,0.0063,0.0034,0.003,0.0042,0.0039,0.0026,7e-04,0.007,0.0014,0.0054,0.0056,6e-04,0.0019
"H_71yToA","AN90200",0.0086,0.012,0.0099,3e-04,0.0073,0.008,0.0041,0.005,0.0048,0.0026,8e-04,0.0014,0.0022,0.0031,0.001,0.0058,0.0092,0.0191,0.0106,0.0022,0.0011,0.0029,0.0015,6e-04,0.0072,0.0048,0.0023,0.0083,0.0214,0.0112,0.0025,0.0077,0.0211,0.0035,0.0146,0.0601,0.0081,0.0037,0.0283,0.0174,0.0088,0.0349,0.0161,0.0065,0.014,0.0218,0.0036,0.0035,0.0428,0.0984,0,0.0017,0.0094,0.0044,0.0039,0.0049,0.0051,0.0054,0.0049,0.003,0.007,0.0033,0.0367,8e-04,0.0169,8e-04,0.0523,0.0032,0.0031,0.0091,0.0234,0.0114,0.0874,0.0295,0.002,0.0037,0.0128,0.0026,7e-04,7e-04,0.003,6e-04,0.0028,4e-04,8e-04,0.0011,0,0,6e-04,0,0.0015,5e-04,0,8e-04,6e-04,6e-04,0.0043,0.0088,0.0051,0.0045,0.001,5e-04,0.0044,0.0029,0.0046,0.001,0.0022,0.0023
"H_71yToA","AN90156",0.0056,0.0051,0.005,0.001,0.0087,0.012,0.0024,0.0016,0.0034,0.0043,0.0012,0.0012,0.0012,0.0041,0.0035,0.0032,0.0081,0.0093,0.0038,7e-04,0.0018,0.0017,0.0015,0.0011,0.0065,0.0033,0.0028,0.0102,0.0166,0.0104,0.0021,0.0036,0.0103,0.0027,0.0087,0.0095,0.0065,0.0056,0.017,0.0089,0.0051,0.0098,0.0088,0.0022,0.0692,0.2038,0.0173,0.0031,0.0354,0.2144,2e-04,0.0018,0.0043,0.0016,0.0026,0.0021,0.0018,0.0021,0.0069,0.0053,6e-04,9e-04,0.0216,0.0032,8e-04,8e-04,0.0076,3e-04,0.008,0.0018,0.0028,0.0032,0.0091,0.0017,3e-04,7e-04,0.0107,5e-04,1e-04,7e-04,0.0058,0.0017,2e-04,0.0076,0.0066,0.0208,0.0019,6e-04,0.0053,0.0032,0.0389,0.0197,0.0018,0.0012,0.0034,0.0131,7e-04,0.0017,0.0026,7e-04,1e-04,2e-04,0.0026,8e-04,0.0021,0.0025,3e-04,0.0012
"H_71yToA","AN90191",0.0086,0.0162,0.0119,0.0035,0.0112,0.013,0.0047,0.0062,0.0078,0.0077,0.0018,0.0022,0.0056,0.0075,0.0164,0.0057,0.0174,0.0271,0.006,0.0012,0.001,8e-04,5e-04,0.0081,0.0069,0.0085,0.0029,0.0118,0.0196,0.0127,0.0027,0.0046,0.0131,0.0024,0.0095,0.0128,0.0118,0.0038,0.0219,0.0119,0.0076,0.0324,0.0382,0.0011,0.0294,0.1048,0.0115,0.0044,0.0504,0.0435,0,0.0011,0.0048,0.0029,0.0016,0.0028,0.0037,0.0017,0.0089,0.003,0.0025,0.0038,0.014,0.01,5e-04,4e-04,0.0064,7e-04,0.0127,0.0065,0.0099,0.0058,0.024,0.0097,1e-04,0.0453,0.0166,0.0136,0.0012,2e-04,0.0061,0.0018,0.0011,0.0048,0.005,0.0118,2e-04,3e-04,0.0047,0.0033,0.0244,0.0042,0.0017,0.002,0.0021,0.0055,0.0023,0.0026,0.001,0.0016,0.001,8e-04,0.0067,0.0015,0.006,0.0017,6e-04,0.001
"H_71yToA","AN90206",0.0036,0.0052,0.0068,0.0045,0.0136,0.0088,0.0047,0.0019,0.0061,0.0057,0.0017,7e-04,0.0011,0.0089,0.0046,0.0039,0.0052,0.0104,0.0047,0.0029,7e-04,0.0018,0.0013,9e-04,0.0106,0.0065,0.0042,0.0196,0.0332,0.0089,0.0027,0.0045,0.0101,0.0022,0.0135,0.0326,0.0238,0.0046,0.0231,0.015,0.0117,0.0497,0.0159,5e-04,0.0384,0.1015,0.0267,0.0034,0.0277,0.0239,0,0.0028,0.0087,0.0046,0.0048,0.0028,0.0066,0.0047,0.0156,0.0034,0.0059,0.0017,0.0548,0.0061,0.0021,6e-04,0.0049,8e-04,0.0078,0.0041,0.0147,0.01,0.0353,0.0112,6e-04,0.0017,0.0119,0.0012,1e-04,4e-04,0.0062,0.0014,8e-04,0.0057,0.0048,0.0106,6e-04,6e-04,0.0038,0.0011,0.0331,0.0261,7e-04,0.0019,0.008,0.0073,0.005,0.0116,0.0075,0.0055,0.0046,9e-04,0.0103,0.0035,0.0093,0.0141,0.0012,0.0029
"H_71yToA","SG90158",0.005,0.0063,0.0052,0.011,0.0049,0.0233,0.0058,0.0074,0.0109,0.016,0.0022,0.0052,0.0035,0.0108,0.009,0.0255,0.0546,0.036,0.0087,0.0021,0.0036,0.0012,0.0016,0.0012,0.0032,0.0059,0.0013,0.001,0.0053,0.0263,0.0056,0.0145,0.0179,0.0033,0.0133,0.0169,0.0061,0.0017,0.0124,0.0101,0.0112,0.0445,0.0603,0.0024,0.0191,0.0257,0.0021,6e-04,0.0551,0.0434,9e-04,7e-04,0.0025,0.0028,7e-04,9e-04,0.0038,0.0015,8e-04,0.0065,0.0015,8e-04,0.0596,0.0063,1e-04,0.001,0.0616,0.0137,0.0021,0.0061,0.0073,0.0052,0.022,0.0039,0.0071,0.0033,0.014,0.0029,7e-04,4e-04,0.0056,0.0015,0.0018,0.0143,0.0146,0.039,0,1e-04,0.0059,0.001,0.0163,8e-04,7e-04,0.0019,0.0016,0.0072,6e-04,0.0014,0.0014,0.0018,0.002,0.0011,0.0035,0.0015,0.0055,0.0032,5e-04,3e-04
"H_71yToA","AN90020",0.0013,0.0043,0.005,0.01,0.0399,0.0091,0.0061,0.0062,0.0102,0.0229,0.0032,0.0024,0.0054,0.0348,0.0061,0.01,0.0359,0.0072,0.0058,0.0015,8e-04,4e-04,3e-04,0.0017,0.0089,0.0122,0.0142,0.0154,0.052,0.014,0.003,0.003,0.0053,0.002,0.0074,0.0107,0.0121,0.0067,0.0195,0.0301,0.0044,0.0231,0.0029,0.0041,0.0197,0.0612,0.0026,0.0022,0.0091,0.0142,4e-04,0.0014,0.0025,0.0046,0.0023,0.001,0.005,0.0038,0.0238,0.0083,0.0033,0.0018,0.0069,0.0063,3e-04,3e-04,0.0031,0.0012,0.0035,0.0032,0.0075,0.0067,0.0308,0.0081,5e-04,0.0033,0.0041,8e-04,1e-04,0.0015,0.0347,0.0092,0.0017,0.0095,0.0172,0.027,0.0014,0.0071,0.013,0.0129,0.0482,0.0427,0.0024,0.0038,0.0105,0.0069,0.001,0.0028,0.005,0.0015,0.001,0.0015,0.0054,0.0012,0.0043,0.0068,4e-04,8e-04
"H_71yToA","SG90216",0.0094,0.0111,0.0155,0.0054,0.0044,0.0107,0.0084,0.0047,0.0088,0.0131,0.0013,0.0077,0.0037,0.0053,0.0033,0.0117,0.0227,0.0231,0.0093,0.0016,0.0028,5e-04,0.0023,9e-04,0.0012,0.0155,0.0021,0.0088,0.0109,0.0348,9e-04,0.0193,0.0281,0.0035,0.0129,0.0217,0.0094,0.0212,0.0388,0.024,0.0234,0.0535,0.0112,0.0133,0.0095,0.0104,0.0019,0.0018,0.02,0.0477,0.0029,0.0032,0.0038,0.0027,0.0023,0.0024,0.0081,0.0035,0.0019,0.0159,0.0029,0.0013,0.0091,0.0032,0.001,0.0039,0.0577,0.0035,0.006,0.0226,0.0072,0.0181,0.0321,0.0266,0.0023,6e-04,0.0073,0.0042,0.0011,8e-04,0.003,0.001,0.0012,8e-04,5e-04,0.0012,1e-04,5e-04,3e-04,6e-04,7e-04,5e-04,0.0015,2e-04,8e-04,0.0016,0.0045,0.0101,0.0092,0.007,0.0039,0.0017,0.0084,0.0024,0.0189,0.0118,0.001,0.0011
"H_71yToA","SG90004",0.0057,0.0102,0.0046,0.0055,0.0093,0.0214,0.0061,0.0042,0.0102,0.014,6e-04,0.0068,0.002,0.0135,0.003,0.0081,0.0206,0.0189,0.0037,9e-04,0.0015,3e-04,5e-04,1e-04,0.0031,0.0047,0.002,0.0042,0.0105,0.0207,0.0085,0.0057,0.0121,0.0053,0.01,0.0129,0.0054,0.005,0.0161,0.0152,0.0106,0.0148,0.0115,0.0072,0.0484,0.0691,0.007,0.0135,0.0596,0.1905,0.0112,4e-04,8e-04,0.0026,5e-04,6e-04,0.0027,0.0015,0.0024,0.006,0.001,5e-04,0.0115,0.0085,1e-04,0.0013,0.0239,0.0029,0.0058,0.0089,0.0027,0.0123,0.0226,0.0175,0.0029,0.0034,0.0059,0.0094,0.0019,4e-04,0.01,0.0021,9e-04,0.0055,0.0029,0.0242,0.0105,0.0012,0.0053,0.007,0.006,0.0018,0.0011,0.0019,0.0028,0.0029,0.0013,0.0014,0.0028,0.0023,0.0016,0,0.0026,8e-04,0.0028,0.0034,4e-04,4e-04
"H_71yToA","SG90172",0.0015,0.0052,0.026,0.0163,0.0208,0.0118,0.0078,0.0072,0.0107,0.0135,0.0014,0.0015,0.0138,0.0245,0.0015,0.0158,0.0271,0.034,0.0098,0.0036,0.0023,8e-04,0.001,0.0028,0.0222,0.0173,0.0166,0.0354,0.0485,0.016,0.0036,0.0052,0.0125,0.0048,0.014,0.0212,0.0173,0.0074,0.0418,0.0322,0.0064,0.0147,0.006,0.004,0.0146,0.0089,6e-04,0.0012,0.005,0.0077,3e-04,0.0014,0.0047,0.0048,0.0011,0.003,0.0201,0.007,0.0093,0.0082,0.0063,0.0062,0.0191,0.0161,0.0015,0.0021,0.016,0.0018,0.0043,0.0019,0.0305,0.0058,0.0169,0.0118,9e-04,0.0026,0.0058,0.0013,2e-04,0.0019,0.0087,0.0049,0.0011,0.013,0.0144,0.0379,0.0074,0.0057,0.0104,0.0105,0.0415,0.011,0.0038,0.0025,0.0044,0.0074,0.0011,0.0017,0.0029,0.0015,6e-04,0.0014,0.0025,4e-04,0.0029,0.0028,6e-04,0.0012
"H_71yToA","AN1424",0.0068,0.0022,0.0101,0.0113,0.0044,0.0041,0.0062,0.0036,0.006,0.0083,0.0029,0.0021,0.0088,0.004,0.0065,0.0134,0.0156,0.0171,0.0087,0.0033,6e-04,1e-04,8e-04,0.0275,0.0084,0.0046,0.0026,0.0064,0.0228,0.0163,0.0111,0.0058,0.0133,0.0027,0.0124,0.0133,0.0082,0.0055,0.0221,0.0247,0.0074,0.0136,0.0211,0.0024,0.0228,0.0282,0.0085,0.0047,0.0159,0.0527,2e-04,0.0016,0.0042,0.0139,0.0017,0.0036,0.0044,0.0067,0.0136,0.004,0.0053,0.0075,0.032,0.0165,0.0021,4e-04,0.0336,0.0051,0.0134,0.009,0.0145,0.0255,0.0658,0.0356,0.0102,0.0205,0.0145,0.0071,0.0013,4e-04,0.0016,0.0066,8e-04,0.0023,0.0083,0.0063,0,8e-04,0.0023,0.0014,0.0098,0.0051,0.0033,0.0015,0.0027,0.0092,0.0019,0.0039,0.0033,0.0023,2e-04,0,0.0024,8e-04,0.0029,0.0013,4e-04,0.0015
